inst,NumVars,NumConstrs,NumNZs,val_heu,v,bound,v_relaxed,t_model,t_heu,t_solve,t_relax,solution
exp1_600_600_40_1.txt,24278,11566,631370,13705,13134,13096,13089,0.610039,0.0696037,1800.05,4.44099,-
exp1_600_600_40_2.txt,23192,10794,542572,14196,13333,13283,13272.5,0.505422,0.065443,1800.03,4.52161,-
exp1_600_600_40_3.txt,22752,10788,550526,13667,12932,12900,12888.7,0.526182,0.0662193,1800.01,3.30831,-
exp1_600_600_40_4.txt,21936,10342,490193,12908,12232,12199,12194.5,0.47219,0.0649116,1800.02,3.3803,-
exp1_600_600_40_5.txt,23359,11436,594866,13185,12593,12561,12554.9,0.5697,0.0675893,1800.02,3.34821,-
exp1_200_200_80_1.txt,10119,3670,286066,10100,8584,8584,8548.93,0.213547,0.017776,399.442,1.54699,-
exp1_200_200_80_2.txt,10091,4078,301865,10102,8811,8811,8763.96,0.265045,0.0184898,209.092,1.45067,-
exp1_200_200_80_3.txt,10666,4260,336531,9727,8390,8390,8350.48,0.245674,0.0191391,304.143,1.93021,-
exp1_200_200_80_4.txt,9299,3892,259228,8847,7631,7631,7590.61,0.228086,0.0173035,222.15,1.26533,-
exp1_200_200_80_5.txt,10409,4346,332607,10901,9086,9086,9068.22,0.262271,0.0178916,516.838,1.53994,-
exp1_400_400_80_1.txt,25419,12154,1.08888e+06,17858,16555,16463,16437.4,0.795654,0.0527146,1800.01,17.6778,-
exp1_400_400_80_2.txt,28235,11922,1.17561e+06,19910,18347,18284,18253.4,0.876822,0.0588858,1800.01,19.7218,-
exp1_400_400_80_3.txt,23389,10072,851404,17203,15377,15345,15325.4,0.677146,0.0502422,1800.01,18.5652,-
exp1_400_400_80_4.txt,24948,10818,994901,17785,16261,16229,16214.1,0.73481,0.0502939,1800.03,29.2819,-
exp1_400_400_80_5.txt,24630,10690,920075,17667,16335,16289,16275.2,0.732228,0.0507243,1800.05,19.8703,-
exp1_600_600_80_1.txt,41117,18264,1.74926e+06,26133,24840,24596,24538.1,1.32236,0.094862,1800.05,100.939,-
exp1_600_600_80_2.txt,41303,18224,1.68783e+06,25320,23950,23801,23784,1.31415,0.0974221,1800.08,80.7594,-
exp1_600_600_80_3.txt,41373,18046,1.72473e+06,26204,24451,24297,24280.8,1.32378,0.0935929,1800.19,67.7551,-
exp1_600_600_80_4.txt,39914,17428,1.58263e+06,24922,23492,23267,23242.9,1.22901,0.0928392,1800.14,58.2187,-
exp1_600_600_80_5.txt,42954,19278,1.86081e+06,27748,25730,25594,25572.4,1.4052,0.0968187,1800.06,122.448,-
